거미,판매처,채널,최초관측일,최초가,현재가,변동횟수,가격추이,최근변동일,재고,URL
관용명 : 골든 어스 타이거 다크폼 학명 : Cyriopagopus schmidti 분양 개체 크기 : 2탈피 + - 손라 산지의 골든 어스 타이거로 골지타 로컬 가장 거 하게 성장합니다. 시 블랙어스타이거와 흡사할 정도로 어두운 다리의 블랙 발색이 특색으로 사육 견해로 실제로 사육 하여 보았던 버러우성 어스타이거 가장 크게 성장하였습니다. 메인 사진은 2022년도 입양하여 사육하였던 골지타 다크폼 손라산지 사진입니다. 20여년 전 부터 꾸준히 국내외 키퍼들에게 인기와 수요가 있어 왔,더쥬 송파점,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tzblossom/products/12965099018
관용명 : 다니엘스쿠일 바분 학명 : Harpactira sp. Danielskuil 분양 개체 크기 : 2~3탈피 - 남아프리카공화국의 쿠루만 산 인근에서 발견되어진다고 알려져 있는 하르팍티라 속의 올블랙에 가까운 채색을 지닌 다니엘스쿠일 바분입니다. 알려진 정보는 거의 없으나 여타 하르팍티라 속과 유사한 습생을 띌 것으로 예측됩니다. *메인 사진은 Google 펌 이미지입니다. 분양되어지는 개체는 ~ 입니다.,더쥬 송파점,네이버,2026-06-02,55000,55000,0,,,품절,https://smartstore.naver.com/tzblossom/products/10635234360
관용명 : 다미 학명 : Haplopelma sp. Dami 분양 개체 크기 : 1탈피 - 베트남 남부에서 발견되어지는 지 성 어스타이거 Sp. 다미 입니다. 2019년도부터 유럽 탐사 에 의하여 발견되어진 종으로 유통량이 적어 다소 생소한 타란툴라입니다. 베트남 실버,더쥬 송파점,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tzblossom/products/11738102065
관용명 : 다부스 오악사카 학명 : Davus sp. Oaxaca 분양 개체 크기 : 5~6탈피++,더쥬 송파점,네이버,2026-06-02,34000,34000,0,,,재고,https://smartstore.naver.com/tzblossom/products/9728706461
관용명 : 다이아몬드 백 학명 : Aphonopelma sp. Diamond Back 분양 개체 크기 : 2~3탈피 - 관용명칭에서 알 수 있듯 등갑 및 전방 발색은 밝은 톤에 럼프 부분 및 후방 발색은 검은 빛을 띄는 독특한 매력을 가진 아포노펠마입니다. 시 정도로 성장하는 소형종입니다. * Google 펌 이미지입니다. 분양되어지는 개체는 ~ 입니다.,더쥬 송파점,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tzblossom/products/9344252812
관용명 : 도미니카 에메랄드,더쥬 송파점,네이버,2026-06-02,40000,40000,0,,,재고,https://smartstore.naver.com/tzblossom/products/13424091497
관용명 : 라오스 트랩도어 학명 : Ornithoctoninae sp. Laos 분양 개체 크기 : 1탈피 - 라오스 원산지 버로우성 어스타이거 라오스 트랩도어입니다. 트랩도어와 흡사한 형태의 굴을 파고 비슷한 생태로 인하여 관용적으로 라오스 트랩도어라고 불리우지만 스탬프 등의 실제 트랩도어류들 과는 전혀 다른 절지동물으로 Ctenizidae 분류가 아닌 엄연한 버로우성 어스타이거인 타란튤라 입니다. *메인 사진은 Google 펌 이미지입니다. 분양되어지는 개체는,더쥬 송파점,네이버,2026-06-02,20000,20000,0,,,재고,https://smartstore.naver.com/tzblossom/products/13538821102
관용명 : 레드트리스파이더,더쥬 송파점,네이버,2026-06-02,15000,15000,0,,,재고,https://smartstore.naver.com/tzblossom/products/11598341757
관용명 : 멕시칸 블루 피머 학명 : Bonnetina cyaneifemur 분양 개체 크기 : 4~5탈피 - 다소 생소한 본네티나 속의 타란툴라입니다. 일전 Bonnetina sp. Chamela 본네티나 카멜라 라는 임시학명으로 많이들 기억 해 주시는 종으로 개인적인 해당 속 타란툴라들의 사육 견해로는 그람모스톨라와 트릭소펠마를 합쳐 놓은 듯 한 느낌이 강하게 들었습니다. 그람솔라 속 타란툴라들처럼 매우 순하며 적응만 잘 해 준다면 알려 진 것 보다 꽤,더쥬 송파점,네이버,2026-06-02,25000,25000,0,,,재고,https://smartstore.naver.com/tzblossom/products/9728673637
관용명 : 바비아나 바분 학명 : Harpactira baviana 분양 개체 크기 : 1탈피 - 하르팍티라 속의 바비아나 바분입니다. 잘 알려져 있는 골든블루렉바분의 다크 버전으로 체형,더쥬 송파점,네이버,2026-06-02,30000,4000,1,"30,000 → 4,000",2026-06-06,재고,https://smartstore.naver.com/tzblossom/products/12823556077
관용명 : 벤듈라 타이거 학명 : Ornithoctoninae sp. Vendula 분양 개체 크기 : 12~ - 베트남에서 발견되어지는 벤듈라 타이거입니다. 앞다리 2 과 뒷다리 2 의 채색이 오묘하게 다르며 전체적으로 흑색과 적갈색 톤이 어우러진 버로우성 어스타이거입니다. 너무 높은 고온에서는 취약한 모습을 보이는 듯 하고 환기가 잘 되어지지 않는 세팅에서 적응이 굉장히 느린 편입니다. 다소 습한 환경을 선호합니다. 과거 유럽시장에서 상당한 인기를 끌었던 타란툴라로 현재에는 비교적 저렴한 분양가에 자리잡은,더쥬 송파점,네이버,2026-06-02,70000,70000,0,,,재고,https://smartstore.naver.com/tzblossom/products/13424068047
관용명 : 벤듈라 타이거 학명 : Ornithoctoninae sp. Vendula 분양 개체 크기 : 1탈피 - 베트남에서 발견되어지는 벤듈라 타이거입니다. 앞다리 2 과 뒷다리 2 의 채색이 오묘하게 다르며 전체적으로 흑색과 적갈색 톤이 어우러진 버로우성 어스타이거입니다. 너무 높은 고온에서는 취약한 모습을 보이는 듯 하고 환기가 잘 되어지지 않는 세팅에서 적응이 굉장히 느린 편입니다. 다소 습한 환경을 선호합니다. 과거 유럽시장에서 상당한 인기를 끌었던 타란툴라로 현재에는 비교적 저렴한 분양가에 자리잡은 타란툴라입니다,더쥬 송파점,네이버,2026-06-02,15000,15000,0,,,재고,https://smartstore.naver.com/tzblossom/products/10635208599
